userId,movieId,rating,title,genres
519,88163,1,"Crazy, Stupid, Love. (2011)",Comedy|Drama|Romance
241,4973,1,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
370,4973,1,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
398,4973,1,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
434,68157,1,Inglourious Basterds (2009),Action|Drama|War
503,68157,1,Inglourious Basterds (2009),Action|Drama|War
213,2409,1,Rocky II (1979),Action|Drama
462,2409,1,Rocky II (1979),Action|Drama
7,45517,1,Cars (2006),Animation|Children|Comedy
380,72998,1,Avatar (2009),Action|Adventure|Sci-Fi|IMAX
556,72998,1,Avatar (2009),Action|Adventure|Sci-Fi|IMAX
78,356,1,Forrest Gump (1994),Comedy|Drama|Romance|War
514,356,1,Forrest Gump (1994),Comedy|Drama|Romance|War
142,356,1,Forrest Gump (1994),Comedy|Drama|Romance|War
205,356,1,Forrest Gump (1994),Comedy|Drama|Romance|War
160,1734,1,My Life in Pink (Ma vie en rose) (1997),Comedy|Drama
580,1090,1,Platoon (1986),Drama|War
195,1090,1,Platoon (1986),Drama|War
599,75947,1,Mondo Cane (1962),Documentary
608,3316,1,Reindeer Games (2000),Action|Thriller
590,6281,1,Phone Booth (2002),Drama|Thriller
489,96079,1,Skyfall (2012),Action|Adventure|Thriller|IMAX
408,96079,1,Skyfall (2012),Action|Adventure|Thriller|IMAX
570,33794,1,Batman Begins (2005),Action|Crime|IMAX
30,33794,1,Batman Begins (2005),Action|Crime|IMAX
89,25887,1,Tales of Manhattan (1942),Comedy|Drama
249,86960,1,Across the Hall (2009),Thriller
351,56941,1,P.S. I Love You (2007),Comedy|Drama|Romance
140,6185,1,Dark Blue (2003),Action|Crime|Drama|Thriller
307,3160,1,Magnolia (1999),Drama
198,3160,1,Magnolia (1999),Drama
414,805,1,"Time to Kill, A (1996)",Drama|Thriller
534,63131,1,Role Models (2008),Comedy
